rank,id,round,score,exact,under,over,extremeUnder,extremeOver,totalOnsets,parameters
47,r009-0037-3d557c7e,9,94,4,3,4,1,0,131,"{""relativeReattackFactor"":2.833273,""relativeReattackMinDelta"":0.015055,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":2.432893,""spectralNoveltyMinBins"":39,""cooldownFrames"":5,""cooldownOverrideFactor"":2.507659,""cooldownOverrideMinFlux"":0.03,""cooldownOverrideMinBandRatio"":0.046644,""analyzeIntervalMs"":41}"
48,r007-0049-155e13a0,7,89,5,4,1,2,0,127,"{""relativeReattackFactor"":2.885371,""relativeReattackMinDelta"":0.014168,""relativeFluxFactor"":1.450176,""spectralNoveltyRatio"":2.500441,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.493395,""cooldownOverrideMinFlux"":0.02975,""cooldownOverrideMinBandRatio"":0.049932,""analyzeIntervalMs"":41}"
49,r007-0077-69fb833c,7,89,5,4,1,2,0,127,"{""relativeReattackFactor"":2.975017,""relativeReattackMinDelta"":0.014213,""relativeFluxFactor"":1.424887,""spectralNoveltyRatio"":2.602876,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.456982,""cooldownOverrideMinFlux"":0.029789,""cooldownOverrideMinBandRatio"":0.049,""analyzeIntervalMs"":41}"
50,r009-0039-47dac92d,9,89,5,4,1,2,0,123,"{""relativeReattackFactor"":3.160897,""relativeReattackMinDelta"":0.01165,""relativeFluxFactor"":1.48085,""spectralNoveltyRatio"":2.418087,""spectralNoveltyMinBins"":41,""cooldownFrames"":5,""cooldownOverrideFactor"":2.97962,""cooldownOverrideMinFlux"":0.024836,""cooldownOverrideMinBandRatio"":0.063568,""analyzeIntervalMs"":41}"
51,r007-0050-20debe97,7,87,5,4,2,2,0,128,"{""relativeReattackFactor"":2.784194,""relativeReattackMinDelta"":0.012912,""relativeFluxFactor"":1.475531,""spectralNoveltyRatio"":2.47813,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.930296,""cooldownOverrideMinFlux"":0.024249,""cooldownOverrideMinBandRatio"":0.067721,""analyzeIntervalMs"":41}"
52,r004-0001-da4a1d2c,4,84,4,1,7,0,2,139,"{""relativeReattackFactor"":2.696021,""relativeReattackMinDelta"":0.008113,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.445891,""spectralNoveltyMinBins"":30,""cooldownFrames"":5,""cooldownOverrideFactor"":3.255567,""cooldownOverrideMinFlux"":0.025568,""cooldownOverrideMinBandRatio"":0.05842,""analyzeIntervalMs"":41}"
53,r005-0008-740de24c,5,84,4,1,7,0,2,136,"{""relativeReattackFactor"":2.79455,""relativeReattackMinDelta"":0.014638,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.517719,""spectralNoveltyMinBins"":31,""cooldownFrames"":5,""cooldownOverrideFactor"":2.862823,""cooldownOverrideMinFlux"":0.024756,""cooldownOverrideMinBandRatio"":0.04918,""analyzeIntervalMs"":41}"
54,r005-0069-5ee135a0,5,84,4,1,7,0,2,138,"{""relativeReattackFactor"":2.870226,""relativeReattackMinDelta"":0.008648,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.232915,""spectralNoveltyMinBins"":31,""cooldownFrames"":5,""cooldownOverrideFactor"":3.045114,""cooldownOverrideMinFlux"":0.025633,""cooldownOverrideMinBandRatio"":0.061165,""analyzeIntervalMs"":41}"
55,r005-0073-7cf0f6c6,5,84,4,1,7,0,2,138,"{""relativeReattackFactor"":2.753767,""relativeReattackMinDelta"":0.013772,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.081323,""spectralNoveltyMinBins"":32,""cooldownFrames"":5,""cooldownOverrideFactor"":3.156051,""cooldownOverrideMinFlux"":0.024198,""cooldownOverrideMinBandRatio"":0.054006,""analyzeIntervalMs"":41}"
56,r006-0045-88c26563,6,84,4,1,7,0,2,136,"{""relativeReattackFactor"":2.721012,""relativeReattackMinDelta"":0.014194,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.453559,""spectralNoveltyMinBins"":31,""cooldownFrames"":5,""cooldownOverrideFactor"":2.873599,""cooldownOverrideMinFlux"":0.022853,""cooldownOverrideMinBandRatio"":0.048398,""analyzeIntervalMs"":41}"
57,r006-0005-0c8f1503,6,71,3,2,6,0,1,134,"{""relativeReattackFactor"":2.706705,""relativeReattackMinDelta"":0.013961,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.589028,""spectralNoveltyMinBins"":32,""cooldownFrames"":5,""cooldownOverrideFactor"":3.174847,""cooldownOverrideMinFlux"":0.024559,""cooldownOverrideMinBandRatio"":0.050701,""analyzeIntervalMs"":41}"
58,r006-0024-dc90b9dc,6,71,3,2,6,0,1,134,"{""relativeReattackFactor"":2.717673,""relativeReattackMinDelta"":0.009007,""relativeFluxFactor"":1.4,""spectralNoveltyRatio"":3.697883,""spectralNoveltyMinBins"":31,""cooldownFrames"":5,""cooldownOverrideFactor"":3.07481,""cooldownOverrideMinFlux"":0.026251,""cooldownOverrideMinBandRatio"":0.055075,""analyzeIntervalMs"":41}"
59,r007-0030-e3f65738,7,60,5,4,3,2,1,128,"{""relativeReattackFactor"":2.628334,""relativeReattackMinDelta"":0.011722,""relativeFluxFactor"":1.48632,""spectralNoveltyRatio"":2.782521,""spectralNoveltyMinBins"":40,""cooldownFrames"":5,""cooldownOverrideFactor"":2.738945,""cooldownOverrideMinFlux"":0.024495,""cooldownOverrideMinBandRatio"":0.067277,""analyzeIntervalMs"":41}"
